symbol,token,,,,,
OSWALAGRO-EQ,2514,,,,,
EBANKNIFTY-EQ,25258,,,,,
EUREKAFORB-EQ,25162,,,,,
KROSS-EQ,25252,,,,,
PGEL-EQ,25358,,,,,
WCIL-EQ,25403,,,,,
ESSARSHPNG-EQ,25634,,,,,
SRD-EQ,25737,,,,,
POLYMED-EQ,25718,,,,,
VINCOFE-EQ,25835,,,,,
LEMONTREE-EQ,2606,,,,,
PFIZER-EQ,2643,,,,,
SFL-EQ,19184,,,,,
TCIEXP-EQ,19223,,,,,
MOM50-EQ,19289,,,,,
SECMARK-EQ,19496,,,,,
UGARSUGAR-EQ,19578,,,,,
TASTYBITE-EQ,20092,,,,,
GREENPOWER-EQ,20110,,,,,
CANTABIL-EQ,20160,,,,,
ASHOKA-EQ,20182,,,,,
AKSHARCHEM-EQ,20178,,,,,
WABAG-EQ,20188,,,,,
ESILVER-EQ,20257,,,,,
JWL-EQ,20224,,,,,
IREDA-EQ,20261,,,,,
GANDHAR-EQ,20303,,,,,
WIPL-EQ,20481,,,,,
JINDWORLD-EQ,20642,,,,,
MUFTI-EQ,20878,,,,,
AZAD-EQ,20905,,,,,
KIRLOSENG-EQ,20936,,,,,
RKDL-EQ,20950,,,,,
KICL-EQ,21119,,,,,
ABCAPITAL-EQ,21614,,,,,
LASA-EQ,21713,,,,,
DAVANGERE-EQ,21794,,,,,
MODTHREAD-EQ,2241,,,,,
HDFCNIFBAN-EQ,22433,,,,,
UTIBANKETF-EQ,22440,,,,,
PARKHOTELS-EQ,22649,,,,,
HLEGLAS-EQ,2289,,,,,
EXICOM-EQ,22947,,,,,
CPSEETF-EQ,2328,,,,,
ASIANPAINT-EQ,236,,,,,
JNKINDIA-EQ,23621,,,,,
BSLGOLDETF-EQ,23804,,,,,
MID150CASE-EQ,24077,,,,,
PEL-EQ,2412,,,,,
PIIND-EQ,24184,,,,,
STANLEY-EQ,24226,,,,,
LIQUIDSHRI-EQ,24374,,,,,
EVINDIA-EQ,24461,,,,,
RPEL-EQ,24735,,,,,
MANCREDIT-EQ,24823,,,,,
MODEFENCE-EQ,24944,,,,,
WINDMACHIN-EQ,24969,,,,,
TREEHOUSE-EQ,25082,,,,,
PGHH-EQ,2535,,,,,
LICMFGOLD-EQ,25640,,,,,
MOMENTUM50-EQ,25606,,,,,
APLAPOLLO-EQ,25780,,,,,
KANANIIND-EQ,25786,,,,,
HYUNDAI-EQ,25844,,,,,
AMJLAND-EQ,2598,,,,,
3PLAND-EQ,2595,,,,,
IT-EQ,2627,,,,,
HEXATRADEX-EQ,27008,,,,,
TBZ-EQ,27037,,,,,
KPEL-EQ,27079,,,,,
SPECIALITY-EQ,27107,,,,,
RSWM-EQ,2794,,,,,
EASEMYTRIP-EQ,2792,,,,,
DAMCAPITAL-EQ,28662,,,,,
ONESOURCE-EQ,29224,,,,,
ITCHOTELS-EQ,29251,,,,,
NATCAPSUQ-EQ,29583,,,,,
AONETOTAL-EQ,29975,,,,,
EQUAL200-EQ,30121,,,,,
SAMMAANCAP-EQ,30125,,,,,
SOTL-EQ,3021,,,,,
ESSENTIA-EQ,30323,,,,,
BAJAJHLDNG-EQ,305,,,,,
SCHNEIDER-EQ,31234,,,,,
BARBEQUE-EQ,3127,,,,,
SUNDRMFAST-EQ,3345,,,,,
